data, m, k, r, theta
cbe, 2, 78, 1.22, 5.625

precision, recall, f1_score
0.41, 0.0696, 0.119

members, duration
10 12, 1-487
11 76, 61-571
28 30, 187-769
217 220, 235-733
4 75, 361-925 535-1057
300 301, 559-1159
45 46, 751-1219
46 47, 757-1273 817-1435
45 46 47, 757-1267 853-1369
232 233, 1039-1585 1129-1597 1801-2287 2017-2503 2059-2527 2161-2629 2173-2659 2239-2749
222 340, 1177-1693 1237-1723 1357-1825 1369-1837 1411-1987
222 340 343, 1231-1699 1261-1807 1375-1873
98 99, 1267-1825
340 343, 1273-1819
345 346, 1531-2071
64 65, 1573-2137
244 245, 2017-2713
232 233 238, 2065-2623 2167-2635
243 245, 2083-2551
243 244 245, 2089-2611
121 123, 2269-2737 2389-2863
127 128 129, 2311-2785 2335-2809
130 132, 2317-2791
127 128 129 132, 2323-2797 2347-2827 2371-2857
130 132 133, 2329-2905
128 129 132, 2347-2899
129 132, 2347-2911
127 128 129 132 134, 2365-2833
253 254, 2521-3019
324 325, 2557-3211
354 355, 2899-3415
329 332, 3205-3763 3337-3805
331 332, 3205-3709 3283-3841
156 158, 3337-3805
329 331 332, 3367-3841
329 331, 3379-3877
360 361, 3715-4189
362 363, 3901-4435 3979-4459 4003-4507 4123-4603 4435-4993
205 206, 4873-5383
